ab;0
aber;0
abermals;0
absichtlich;0
absichtliche;0
absichtlichen;0
absichtlicher;0
absichtliches;0
ach;0
aktuell;0
aktuelle;0
aktuellem;0
aktuellen;0
aktueller;0
aktuelles;0
alle;0
allem;0
allen;1
allenfalls;0
allenthalb;0
allenthalbe;0
allenthalben;0
allenthalber;0
allenthalbes;0
aller;1
allerdings;0
alles;0
allgemein;0
allgemeine;0
allgemeinen;0
allgemeines;0
als;0
alsdann;0
also;0
am;0
an;0
andere;0
anderem;0
anderen;0
anderer;0
andererseits;0
anderes;0
anders;1
ans;0
auch;0
auf;0
aufgrund;0
aus;0
ausschließlich;0
außer;0
äußerst;0
bald;0
baldige;0
baldigen;0
beabsichtige;0
beabsichtigen;0
beabsichtigte;0
beabsichtigten;0
bedeutendsten;0
bei;0
beide;0
beim;0
beinahe;0
beliebig;0
beliebige;0
beliebigem;0
beliebigen;0
beliebiger;0
beliebiges;0
bereits;0
besser;0
bessere;0
besserem;0
besseren;0
besserer;0
besseres;0
beste;0
besten;0
bester;0
bestes;0
bezeichnet;0
bezeichnete;0
bezeichneten;0
bin;0
binnen;0
bis;0
bisher;0
bist;0
bleibe;0
bleiben;0
bleibt;0
da;0
dabei;0
dadurch;0
dafür;0
daher;0
damalige;0
damaligem;0
damaligen;0
damaliger;0
damaliges;0
damals;0
damit;0
danach;0
dann;0
daran;0
daraus;0
darf;0
darüber;0
das;0
dass;0
daß;0
davon;0
davor;0
dazu;0
dein;0
deine;0
deinem;0
deinen;0
deiner;0
deines;0
dem;0
den;0
denen;0
denn;0
der;0
derer;0
derjenige;0
derjenigem;0
derjenigen;0
derweil;0
derzeit;0
derzeitig;0
derzeitige;0
derzeitigem;0
derzeitigen;0
derzeitiger;0
derzeitiges;0
des;0
deshalb;0
dessen;0
dessengleichen;0
deswegen;0
deutlich;0
dich;0
die;1
diejenigen;0
dies;1
diese;0
diesem;0
diesen;0
dieser;0
dieses;0
diesmal;0
dir;0
doch;0
dort;0
dortige;0
dortigem;0
dortigen;0
dortiger;0
du;0
durch;0
durchaus;0
durfte;0
durften;0
durftest;0
dürfe;0
dürfen;0
dürfte;0
dürftest;0
dürftet;0
eben;0
ebenso;0
echt;0
eigene;0
eigenen;0
eigenes;0
eigens;0
eigentlich;0
eigentliche;0
ein;0
eindeutig;0
eindeutige;0
eindeutigem;0
eindeutigen;0
eindeutiger;0
eindeutiges;0
eine;0
einem;0
einen;0
einer;0
einerseits;0
eines;0
einfachste;0
einfachsten;0
einfachster;0
einfachstes;0
einige;0
einigem;0
einigen;0
einiger;0
einiges;0
einmalig;0
einmalige;0
einmaligen;0
einmaliger;0
einmaliges;0
einzelnen;0
einzig;0
einzige;0
einzigem;0
einzigen;0
einziger;0
entgegen;0
entweder;0
er;0
erkannt;0
erkannte;0
erkannten;0
erkenne;0
erkennen;0
erkennt;0
ermögliche;0
ermöglichen;0
ermöglichst;0
ermöglicht;0
ermöglichte;0
ermöglichten;0
ermöglichtest;0
ermöglichtet;0
erneut;0
erneute;0
erneutem;0
erneuten;0
erneuter;0
erneutes;0
ernsthaft;0
ernsthafte;0
ernsthaften;0
ernsthafter;0
ernsthaftes;0
erst;0
erste;0
erster;0
erstere;0
ersteren;0
ersterer;0
ersteres;0
erstes;0
erstmalig;0
erstmaligen;0
erstmaliges;0
erstmals;0
es;0
etliche;0
etwa;0
etwas;0
euch;0
euer;0
eure;0
eurem;0
euren;0
eures;0
extrem;0
extreme;0
extremen;0
extremer;0
extremes;0
falls;0
fand;0
fanden;0
fandet;0
fast;0
fände;0
fänden;0
finde;0
finden;0
findet;0
für;0
gab;0
ganz;0
ganze;0
ganzen;0
ganzer;0
geeignet;0
geeignete;0
geeignetem;0
geeigneten;0
geeigneter;0
geeignetes;0
gegen;0
gegenüber;0
gegenwärtig;0
gegenwärtige;0
gegenwärtigen;0
gegenwärtiges;0
geglaubt;0
geht;0
gelegentlich;0
gemacht;0
gemeinsam;0
gemeinsame;0
gemeinsamen;0
gemeinsamer;0
gemeinsames;0
genau;0
genaustens;0
gering;0
geringfügig;0
gern;0
gerne;0
gesagt;0
gewesen;0
geworden;0
gibt;0
ginge;0
glaube;0
glauben;0
glaubst;0
glaubt;0
glaubte;0
glaubwürdig;0
glaubwürdige;0
glaubwürdigen;0
glaubwürdiger;0
glaubwürdiges;0
groß;0
große;0
großen;0
großer;0
großes;0
größer;0
grundlegend;0
grundlegende;0
grundlegendem;0
grundlegender;0
grundlegendes;0
gut;1
gute;0
gutem;0
guten;0
guter;0
gutes;0
habe;0
haben;0
habt;0
halt;0
halte;0
hast;0
hat;0
hatte;0
hatten;0
hattest;0
hattet;0
hält;0
hätte;0
hätten;0
hättest;0
hättet;0
häufig;0
heißt;0
hielt;0
hielte;0
hielten;0
hieltest;0
hier;0
hierdurch;0
hierfür;0
hiermit;0
hochgradig;0
höchst;0
höchstens;0
ich;0
ihm;0
ihn;0
ihnen;0
ihr;0
ihre;0
ihrem;0
ihren;0
ihrer;0
ihres;0
im;0
immer;0
immerhin;0
in;0
indem;0
individuell;0
innerhalb;0
ins;0
insbesondere;0
insgesamt;0
inwendig;0
irgendwann;0
irgendwer;0
irgendwie;0
irgendwo;0
ist;0
je;0
jede;0
jedem;0
jeden;0
